mmsi,x,y,sog_kn,cog_deg,ais_gap_flag,is_true_source,attr_score,rank
TRUE001,1.0,0.34975285776516607,4.375225597903229,220.0,0,1,0.007623790885577636,1
DECOY009,0.664245953577478,0.1757772352483788,5.198531239601733,2.6504171103619845,0,0,-0.0020036719009956672,2
DECOY006,0.38341373543138196,0.47260023014822705,5.031541745348571,46.77174192076979,0,0,-0.0024211456366285723,3
DECOY001,0.16530226940799128,0.45534734410601035,7.9327683877213,333.63539598549664,0,0,-0.00483192096930325,4
DECOY007,0.25421841414579566,0.6528325952142593,8.994430701957292,299.7641505808215,0,0,-0.00748607675489323,5
DECOY011,0.17581729831489168,0.1530770661823761,12.694447388647546,169.5946342115277,0,0,-0.016736118471618867,6
DECOY005,0.188860542860793,0.6647440579182091,13.916194494525074,348.3035036763156,0,0,-0.019790486236312688,7
DECOY003,0.7948680547933238,0.6184979592098584,14.129403841365981,127.62934852675261,0,0,-0.02032350412514968,8
DECOY010,0.6483657709328289,0.6846488407637016,14.491664496351486,165.20967919380237,0,0,-0.021229161240878716,9
DECOY008,0.3311299772438369,0.7990338212556809,14.87622971994883,139.4922164508628,0,0,-0.022190574299872076,10
DECOY000,0.6776312261534275,0.13475961309888457,17.609957626188095,274.0102927165271,0,0,-0.029024894065470232,11
DECOY002,0.790485451943747,0.44907277894459796,5.63581954855643,199.65052332570053,1,0,-0.15091044910142878,12
DECOY004,0.8538090091899778,0.7505451473663857,5.114219325631481,168.0195613417323,1,0,-0.1522144191788212,13
