mmsi,vessel_name,lat,lon,sog_kn,cog_deg,is_true_source,is_synthetic,attribution_score,rank
338219000,GULF_EXPLORER_TANKER,28.357057611510463,-88.40907712771192,6.146573532417287,215.0,1,1,0.9317599444749564,1
311037107,COMMERCIAL_VESSEL_10,28.41982189379517,-88.15607953364413,4.483421520594218,288.7340419821834,0,1,0.3479590898457992,2
311016492,COMMERCIAL_VESSEL_05,28.52259940433308,-88.41319821370915,2.100207738314442,171.13842527149112,0,1,0.2977917924094051,3
311008246,COMMERCIAL_VESSEL_03,28.413362820030585,-88.20552871952722,8.833217808600192,252.46514395819824,0,1,0.26379606286591595,4
311045353,COMMERCIAL_VESSEL_12,28.238870047797654,-88.49646703435752,10.406775082368453,166.77114969633337,0,1,0.26356518112249117,5
311012369,COMMERCIAL_VESSEL_04,28.608996768698933,-88.54003520555914,2.547712494983754,179.67569449122723,0,1,0.23107451342671495,6
311000000,COMMERCIAL_VESSEL_01,28.271276292388336,-88.68571316007721,8.987360467858302,351.3663947216165,0,1,0.19936918757068828,7
311032984,COMMERCIAL_VESSEL_09,28.37095133458191,-88.54296018635151,14.45188162415161,249.79714232549895,0,1,0.19317361237534608,8
311053599,COMMERCIAL_VESSEL_14,28.622328092619906,-88.70309104275266,1.01797865778946,127.21860958428675,0,1,0.11470254048346874,9
311041230,COMMERCIAL_VESSEL_11,28.600838530754636,-88.36291482915081,13.19608481301085,72.05467957087703,0,1,0.07718666296438029,10
311024738,COMMERCIAL_VESSEL_07,28.27661049404726,-88.09235916484504,14.718180074694224,10.065778807181696,0,1,0.03912971417466307,11
311028861,COMMERCIAL_VESSEL_08,28.227795658908352,-88.11059329396491,15.389074522835703,265.0319196598213,0,1,0.03861643144507194,12
311004123,COMMERCIAL_VESSEL_02,28.66323574372728,-88.33415709031738,15.578782867049009,223.70646635662263,0,1,0.0366802327650367,13
311020615,COMMERCIAL_VESSEL_06,28.104803253352067,-88.66250110302678,16.88628318123522,45.4119877559068,0,1,0.026265815381032592,14
311049476,COMMERCIAL_VESSEL_13,28.05783755375691,-88.17656849987713,17.26450163449784,311.1759983891143,0,1,0.02318180332875888,15
